台区ID,总分,1.杆塔,2.墙支架,3.电缆段,4.分支箱,5.接入点,6.计量箱,7.连接线,8.档距段,9.电缆终端头起点,10.电缆终端头末端,11.低压电缆接头,12.台区整体美观性,13.台区整体偏移,14.台区整体混乱
3bf55b61-0ab3-4594-9893-9e89c7b402cc,94,10,3,10,5,15,15,10,6,6,6,3,5,0,0
3c8cb951-32a9-48d9-8b2e-70bcc293fe9e,100,10,3,10,10,15,15,10,6,6,6,3,6,0,0
3cc60084-a56b-48ff-ae6e-6f24d212e762,100,10,3,10,10,15,15,10,6,6,6,3,6,0,0
3d5ed954-b812-44e5-a683-4a98a3761a1d,100,10,3,10,10,15,15,10,6,6,6,3,6,0,0
3d72c160-6e3c-4fb9-b1c3-0ae0c7754c49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3e82a942-a57c-4b6a-ba86-ccbc6e094394,63,10,3,5,4,6,6,6,6,6,5,3,3,0,0
3eb96678-b0a4-4f02-b9bd-4e1e60f98d3d,100,10,3,10,10,15,15,10,6,6,6,3,6,0,0
3ed2bf32-01c9-4be7-bc82-626d44f12b6f,79,5,3,8,10,13,12,5,4,6,6,3,4,0,0
3eff11f6-5ca6-4e9d-b7a8-92ce5a85c7a9,59,2,3,7,10,7,7,5,2,5,5,3,3,0,0
3f8f1f4c8fff8080816e1f453c016e3f8d57be35a9,100,10,3,10,10,15,15,10,6,6,6,3,6,0,0
