sample_id,file_name,machine_score,treated_score,human_score,machine_score_normalized,treated_score_normalized,improvement
1,885562e1678a06deed5cd6d7ba015d885082f3785_评分详情.json,6.0,5.5,30.0,72.0,66.0,-0.5
2,6a00adc94cff8080815b0159df015b69fcea34308_评分详情.json,3.0,3.0,19.0,36.0,36.0,0.0
3,6b77fdf5f6ff8080815b0159df015b6b741e19586_评分详情.json,3.0,3.0,98.0,36.0,36.0,0.0
4,99290cea-ffac-4970-b568-a2ed034881d_评分详情.json,3.0,3.0,20.0,36.0,36.0,0.0
5,1400036058820_评分详情.json,3.0,3.0,57.0,36.0,36.0,0.0
6,1400036058469_评分详情.json,3.0,3.0,2.697010485861298,36.0,36.0,0.0
7,a3292799-afbd-4132-aa65-22b6725f0f8_评分详情.json,3.0,3.0,42.0,36.0,36.0,0.0
8,b8ff0b5c-4f2f-45b2-91f9-1e8b227746c_评分详情.json,3.0,3.0,78.0,36.0,36.0,0.0
9,93708e69-10bb-4ce2-a5b1-aa4dbf52ff2_评分详情.json,3.0,3.0,3.379587828415315,36.0,36.0,0.0
10,e584ccd5208a06deec54d82f360154e584a22341c_评分详情.json,3.0,3.0,24.0,36.0,36.0,0.0
