sample_id,file_name,machine_score,treated_score,human_score,improvement_ratio
1,885562e1678a06deed5cd6d7ba015d885082f3785_评分详情.json,6.0,5.5,30.0,-8.333333333333332
2,6a00adc94cff8080815b0159df015b69fcea34308_评分详情.json,3.0,3.0,19.0,0.0
3,6b77fdf5f6ff8080815b0159df015b6b741e19586_评分详情.json,3.0,3.0,98.0,0.0
4,99290cea-ffac-4970-b568-a2ed034881d_评分详情.json,3.0,3.0,20.0,0.0
5,1400036058820_评分详情.json,3.0,3.0,57.0,0.0
6,1400036058469_评分详情.json,3.0,3.0,2.697010485861298,0.0
7,a3292799-afbd-4132-aa65-22b6725f0f8_评分详情.json,3.0,3.0,42.0,0.0
8,b8ff0b5c-4f2f-45b2-91f9-1e8b227746c_评分详情.json,3.0,3.0,78.0,0.0
9,93708e69-10bb-4ce2-a5b1-aa4dbf52ff2_评分详情.json,3.0,3.0,3.379587828415315,0.0
10,e584ccd5208a06deec54d82f360154e584a22341c_评分详情.json,3.0,3.0,24.0,0.0
11,5fb5fd85-a7c7-4a73-81a0-399931e1e59_评分详情.json,3.0,5.0,8.0,66.66666666666666
12,1400006736746_评分详情.json,3.0,3.0,8.0,0.0
13,1400037063574_评分详情.json,3.0,3.5,61.0,16.666666666666664
14,1400075770695_评分详情.json,3.0,3.0,48.0,0.0
15,5c30231f-64ce-4dd8-a349-28cec2eb5ed_评分详情.json,3.0,3.0,71.0,0.0
16,100000082122_评分详情.json,3.0,3.5,100.0,16.666666666666664
17,35dfbce8-cd31-488e-ab5c-72cc4a1e8e5_评分详情.json,3.0,3.0,26.0,0.0
18,e584db7cd38a06deec54d82f360154e584b0c441d_评分详情.json,3.0,6.0,16.0,100.0
19,cf5ce30b-dd4c-4aa9-ab56-87f0f0aafd3_评分详情.json,4.5,4.5,38.0,0.0
20,2741574369ff8080816862cef50169273df17a537_评分详情.json,4.5,5.5,8.0,22.22222222222222
21,1400037063024_评分详情.json,3.0,3.0,24.0,0.0
22,86f22938-6338-4839-b82b-c9e901cde63_评分详情.json,3.0,3.4013999999999998,88.0,13.379999999999992
23,1400047606364_评分详情.json,3.0,3.0,100.0,0.0
24,f6c4f724-070d-4dad-ba9b-b798120b382_评分详情.json,3.0,3.0,73.0,0.0
25,4f7be614-6b75-4234-a27a-ca1b25fdc67_评分详情.json,3.0,3.0,27.0,0.0
26,1400029775288_评分详情.json,3.0,3.0,100.0,0.0
27,12b806f3-8cc4-429d-bb76-d755621ff6a_评分详情.json,3.0,3.0,92.0,0.0
28,1400110805171_评分详情.json,3.0,3.0,100.0,0.0
29,0fdfed46-ea28-42a5-bc14-e19f5e535c9_评分详情.json,3.0,3.0,95.0,0.0
30,27ad96bec8ff8080816862cef5016927aa2782629_评分详情.json,4.0,5.0,76.0,25.0
31,1f24c21b-002f-4045-9add-1aeeb2cb279_评分详情.json,3.0,3.0,100.0,0.0
32,27ad8f8a80ff8080816862cef5016927aa2058628_评分详情.json,3.0,3.0,100.0,0.0
33,1400006736731_评分详情.json,3.0,6.0,98.0,100.0
34,100000082007_评分详情.json,3.0,3.0,60.0,0.0
35,1400110805078_评分详情.json,3.0,3.0,84.0,0.0
36,60532d55-6967-4b7b-83ac-fb0be2a28c2_评分详情.json,3.0,3.0,100.0,0.0
37,100000082013_评分详情.json,3.0,3.66,20.0,22.000000000000007
38,1400075770137_评分详情.json,3.0,3.0,100.0,0.0
39,aa5fa1730fff8080816767987e0167aa5dcfcb1b0_评分详情.json,3.5,3.5,100.0,0.0
40,1400084708382_评分详情.json,3.0,3.0,100.0,0.0
41,100000777146_评分详情.json,4.5,4.5,100.0,0.0
42,3613e1b26aff808081562486640156361399a8658_评分详情.json,3.0,3.0,100.0,0.0
43,f4a81021-31e0-4014-a8e4-ae00fdfb2a7_评分详情.json,3.0,3.0,47.0,0.0
44,da8058f2258a06deed57d0fc820157da8011ba71b_评分详情.json,3.0,3.0,100.0,0.0
45,b0559322-5ee9-4e6f-ad66-d74755ae5d8_评分详情.json,3.0,3.4013999999999998,100.0,13.379999999999992
46,7a6bb54dabff8080815b054dc2015b7a68e57a24b_评分详情.json,3.0,3.0,100.0,0.0
47,e515932f-2b48-4cb9-88d1-4dc3c4a1064_评分详情.json,3.0,3.0,100.0,0.0
48,100000082062_评分详情.json,3.0,3.0,97.0,0.0
49,27ada44779ff8080816862cef5016927aa34f762c_评分详情.json,3.5,5.0,84.0,42.857142857142854
50,39df1711-cfb3-4c90-99c0-da2aa40f6cf_评分详情.json,3.0,3.0,100.0,0.0
51,6600d2dc23ff8080815b01e594015b65fe8e473e7_评分详情.json,3.0,3.0,100.0,0.0
52,1400006736680_评分详情.json,3.0,3.0,83.0,0.0
53,dec15cdb-6f5e-4e22-b5da-66aeee96f87_评分详情.json,3.0,3.0,100.0,0.0
54,100000082111_评分详情.json,3.0,3.0,90.0,0.0
55,c7703aad-7ddf-4417-8792-27f02442b84_评分详情.json,3.0,3.0,100.0,0.0
56,26cbff83-6e83-4155-822f-3214aadca70_评分详情.json,3.0,3.0,100.0,0.0
57,7c19137b-2b05-4af3-b0d2-5493e8fe01e_评分详情.json,3.0,3.0,100.0,0.0
58,b0a5e0e1-7b64-40d3-816c-32bd54baf01_评分详情.json,3.0,3.0,100.0,0.0
59,515bba00-6b75-43b5-9c3e-ddf371cda1f_评分详情.json,3.0,3.0,100.0,0.0
60,100000744958_评分详情.json,4.5,6.0,100.0,33.33333333333333
61,ab74e5a99a8a06deed678bcd660167ab73a9ba314_评分详情.json,3.0,3.0,52.0,0.0
62,3c3559ea-c7ff-4fb2-aefb-43252f71b67_评分详情.json,3.0,3.0,92.0,0.0
63,80f1a0d9-ceab-4c83-8f82-9970c352b17_评分详情.json,3.0,3.0,120.0,0.0
64,1339d714-cd38-43a7-a133-8f45df0dc3d_评分详情.json,3.0,3.0,100.0,0.0
65,2dada7f6-b0a5-4407-8700-079dac9401e_评分详情.json,3.0,3.0,96.0,0.0
66,1400075769957_评分详情.json,3.0,3.0,88.0,0.0
67,ea3a590454ff808081563860250156ea37ccca798_评分详情.json,3.0,3.0,82.0,0.0
68,8b2d15c1-0a68-4bbf-811c-489794fbddc_评分详情.json,3.0,6.0,100.0,100.0
69,100000082034_评分详情.json,3.0,4.0,100.0,33.33333333333333
70,9678eef635ff8080815d8b9bd0015d9678d984214_评分详情.json,4.5,4.0,100.0,-11.11111111111111
71,f0e9d246-9bce-49ec-871c-9ef9410777e_评分详情.json,4.5,8.0,100.0,77.77777777777779
72,27ad9d1b39ff8080816862cef5016927aa2dd562a_评分详情.json,7.0,7.0,100.0,0.0
73,d476346bf18a06deec6b9fc873016bd474bf6c233_评分详情.json,3.0,3.5,94.0,16.666666666666664
74,65ea818d-a9df-4dc1-9d2f-fdac41e5ced_评分详情.json,3.0,3.0,91.0,0.0
75,d472bf10198a06deec6b9fc873016bd4714ace21d_评分详情.json,3.0,3.0,100.0,0.0
76,af31ad19-24d3-41a3-a4bf-4b936d8f405_评分详情.json,3.0,3.0,100.0,0.0
77,19a901ac-5921-49db-b6c9-6fda742d0ce_评分详情.json,3.0,3.0,100.0,0.0
78,100000082093_评分详情.json,3.0,3.0,71.0,0.0
79,1400075769223_评分详情.json,3.0,3.0,100.0,0.0
80,1400017473008_评分详情.json,3.0,3.0,50.0,0.0
81,57a5587f-50a0-49c1-9aef-d9ef6a40b92_评分详情.json,4.0,4.0,94.0,0.0
82,9397428a-44a1-4dab-aa88-dbeca1dc8fd_评分详情.json,4.5,4.5,100.0,0.0
83,9accabfd-2387-45ed-912f-c1c54e129bf_评分详情.json,3.0,5.0,100.0,66.66666666666666
84,05e9caf6-0a30-4470-9a7e-2e324dd16dc_评分详情.json,3.0,10.11,100.0,236.99999999999997
85,1400075770518_评分详情.json,3.0,3.0,100.0,0.0
86,dfc47b17-8859-463d-ba54-10c01780132_评分详情.json,3.0,3.0,100.0,0.0
87,7ce7a298-8344-49d2-8af4-9a64ca0b329_评分详情.json,3.0,3.0,100.0,0.0
88,e85f3d9d-8467-44f6-be8d-89e838dfb3a_评分详情.json,3.0,6.0,100.0,100.0
89,3eff11f6-5ca6-4e9d-b7a8-92ce5a85c7a_评分详情.json,3.0,3.0,90.0,0.0
90,1400029774026_评分详情.json,3.0,3.0,79.0,0.0
91,49e75925-d2e7-4337-b2d5-5ffb60873f9_评分详情.json,4.5,5.5,95.0,22.22222222222222
92,f291a30e-6ab0-49bf-baea-29d9bf5e5b8_评分详情.json,3.0,3.0,98.0,0.0
93,e116f9be-a02e-4f4a-8fe1-faa7b5d27ef_评分详情.json,3.0,3.0,100.0,0.0
94,ab74f660658a06deed678bcd660167ab73ba67315_评分详情.json,3.0,3.0,100.0,0.0
95,88c56ee0-cebc-47a7-8dc2-1d3f4a092a0_评分详情.json,3.0,3.0,100.0,0.0
96,e27fa9db43ff80808166bfd63e0166e27ef84428b_评分详情.json,3.0,6.0,100.0,100.0
97,1400084709629_评分详情.json,3.0,3.0,100.0,0.0
98,a53f8927-30db-49c2-bc90-3f2969bad75_评分详情.json,3.0,3.0,100.0,0.0
99,1400007817127_评分详情.json,3.0,3.01,100.0,0.33333333333332626
100,e584d4f1428a06deec54d82f360154e584aa3c41c_评分详情.json,3.0,3.0,90.0,0.0
