台区ID,总分,1.杆塔,2.墙支架,3.电缆段,4.分支箱,5.接入点,6.计量箱,7.连接线,8.档距段,9.电缆终端头起点,10.电缆终端头末端,11.低压电缆接头,12.台区整体美观性,13.台区整体偏移,14.台区整体混乱
3ed2bf32-01c9-4be7-bc82-626d44f12b6f,79,10,3,8,10.0,13,12,5,4,6,6,3,4,0,0
022a950bcd8a06deef55aae3f901560229b3b239cb,87,10,3,8,7.893540434937862,9,13,8,6,6,6,3,5,0,0
022a97aa6e8a06deef55aae3f901560229b65039cd,90,10,3,10,9.294250428297405,9,12,10,6,6,6,3,5,0,0
022a9a3d078a06deef55aae3f901560229b8e039d3,100,10,3,10,7.75850949222886,15,15,10,6,6,6,3,6,0,0
022a9c96628a06deef55aae3f901560229bb3839d5,96,10,3,10,10.0,11,15,10,6,6,6,3,6,0,0
0297d9d53a8a06deec56ff679e01570297d5e305e4,100,10,3,10,9.647098483749074,15,15,10,6,6,6,3,6,0,0
0297de60d98a06deec56ff679e01570297da6405f8,96,10,3,10,8.012590677359277,13,15,8,6,6,6,3,6,0,0
033b12c5b9ff80808156383f080157033880316b56,96,9,3,10,9.804435922598136,15,15,7,6,6,6,3,5,0,0
033b185f5dff80808156383f080157033885c66b60,100,9,3,10,10.0,15,15,10,6,6,6,3,6,0,0
033b1c838bff80808156383f080157033889e56b6a,100,10,3,10,10.0,15,15,10,6,6,6,3,6,0,0
033b208699ff80808156383f08015703388de36b74,100,10,3,10,9.295594191062754,15,15,10,6,6,6,3,6,0,0
038f6cc3a18a06deef5637ca340157038d28547515,100,10,3,10,10.0,15,15,10,6,6,6,3,6,0,0
03c186067dff80808157e35a2e015803c0da9c0aa2,100,10,3,10,10.0,15,15,10,6,6,6,3,6,0,0
03c71b0dddff80808157e358d1015803c641044ed8,100,10,3,10,10.0,15,15,10,6,6,6,3,6,0,0
043fd19f628a06deef5637ca340157043d86e27f76,100,10,3,10,10.0,15,15,10,6,6,6,3,6,0,0
043ffddeb88a06deef5637ca340157043db3167f8c,100,10,3,10,9.742943910890844,15,15,10,6,6,6,3,6,0,0
044b05bbb48a06deef5637ca3401570448ba7e0063,100,10,3,10,8.463155592370118,15,15,10,6,6,6,3,6,0,0
04fa724abe8a06deed57e35417015804f9c6f61b9d,75,10,3,8,9.802420464828723,2,15,4,6,6,6,3,4,0,0
04fa7a3dd48a06deed57e35417015804f9ced81bbf,40,10,3,4,9.60230040801896,0,2,2,6,0,0,3,0,0,0
0559f439678a06deed57e354170158055942b025e5,83,10,3,10,9.648399244168475,5,15,10,6,6,1,3,4,0,0
0559f8d0108a06deed57e3541701580559473e25f7,68,10,3,10,7.131303661480838,2,3,3,6,6,6,3,6,0,0
0559ffa3058a06deed57e35417015805594e002619,96,10,3,10,10.0,13,13,10,6,6,6,3,6,0,0
055a03d7478a06deed57e3541701580559522d2627,78,10,3,10,9.068023427773173,5,15,0,6,6,6,3,4,0,0
055cb183b48a06deed57e354170158055bfe7c28d6,100,10,3,10,10.0,15,15,10,6,6,6,3,6,0,0
055cb80f628a06deed57e354170158055c04f728f8,73,10,3,6,9.882333081419798,6,8,7,6,6,4,3,4,0,0
