台区ID,人工电缆段评分,ML电缆段评分,评分差异
091812e6b48a06deef56384518015709158ee14ec2,8.0,8,0.0
0940140a34ff808081563860250157093d3efa661a,10.0,10,0.0
09431215bc8a06deef56384518015709408d8c4f82,7.0,7,0.0
09431562138a06deef563845180157094090d44f8c,10.0,10,0.0
094318520d8a06deef563845180157094093bf4f96,5.0,5,0.0
09568841fdff80808153aede940154095613eb1f34,3.0,3,0.0
102320e324ff80808166f86cba016710228b8a7c75,10.0,10,0.0
1277083f1c8a06deed5b056b50015b127696ec2177,10.0,10,0.0
1351078e408a06deed64d7dfe7016513502a6f5d83,10.0,10,0.0
137921d351ff80808164d7ceef0165137817d53749,10.0,10,0.0
13947790b9ff80808164d7a612016513924b291849,10.0,10,0.0
14000035708672,0.0,1,1.0
14000045218035,8.0,8,0.0
14000045873093,10.0,10,0.0
14000045934576,10.0,10,0.0
14000046696882,0.0,1,1.0
14000048619639,3.0,3,0.0
14000048622776,3.0,3,0.0
14000048628798,3.0,3,0.0
14000048630107,3.0,3,0.0
14000049710030,10.0,10,0.0
14000050244040,10.0,10,0.0
14000052422992,10.0,10,0.0
14000052735725,10.0,10,0.0
14000052809833,8.0,8,0.0
14000052835793,7.0,7,0.0
14000052837646,8.0,8,0.0
14000052838755,5.0,5,0.0
14000052839980,8.0,8,0.0
14000052840931,7.0,7,0.0
14000052980159,8.0,8,0.0
14000053125246,10.0,10,0.0
14000053126279,10.0,10,0.0
14000053134566,10.0,10,0.0
14000053303850,10.0,10,0.0
14000053322588,10.0,10,0.0
14000053327144,10.0,10,0.0
14000053330348,10.0,10,0.0
14000053331377,10.0,10,0.0
14000053336224,10.0,10,0.0
14000053347009,10.0,10,0.0
14000053350278,10.0,10,0.0
14000053393600,10.0,10,0.0
14000053399565,10.0,10,0.0
14000053403463,10.0,10,0.0
14000053821205,10.0,10,0.0
14000054658376,8.0,8,0.0
14000054662904,8.0,8,0.0
14000054686706,8.0,8,0.0
14000054834070,10.0,10,0.0
14000054841172,10.0,10,0.0
14000054841864,10.0,10,0.0
14000055167238,10.0,10,0.0
14000056364731,10.0,10,0.0
14000056683034,10.0,10,0.0
14000056821825,10.0,10,0.0
14000056868042,10.0,10,0.0
14000059134450,9.0,9,0.0
14000059221799,10.0,10,0.0
14000059259543,10.0,10,0.0
14000059645516,9.0,9,0.0
14000059648477,8.0,8,0.0
14000059675208,8.0,8,0.0
14000059712095,10.0,10,0.0
14000060229359,10.0,10,0.0
14000060274595,8.0,8,0.0
14000060690700,10.0,10,0.0
14000060774219,10.0,10,0.0
14000060792632,10.0,10,0.0
0818408e-1a2b-4479-be8d-c157becec39c,3.0,3,0.0
126556ad-e7fa-4f83-b66f-2e5a2d8aec6e,1.0,1,0.0
