ID,电缆段,档距段
14000035708672,0,6
14000045218035,8,6
14000045873093,10,5
14000045934576,10,5
14000046696882,0,6
14000048619639,3,6
14000048622776,3,6
14000048628798,3,6
14000048630107,3,6
14000049710030,10,6
14000050244040,10,6
14000052422992,10,5
14000052735725,10,6
14000052809833,8,6
14000052835793,7,6
14000052837646,8,6
14000052838755,5,6
14000052839980,8,6
14000052840931,7,6
14000052980159,8,6
14000053125246,10,6
14000053126279,10,6
14000053134566,10,6
14000053303850,10,6
14000053322588,10,5
14000053327144,10,6
14000053330348,10,6
14000053331377,10,6
14000053336224,10,5
14000053347009,10,6
14000053350278,10,6
14000053393600,10,6
14000053399565,10,6
14000053403463,10,6
14000053821205,10,5
14000054658376,8,6
14000054662904,8,6
14000054686706,8,6
14000054834070,10,6
14000054841172,10,6
14000054841864,10,6
14000055167238,10,6
14000056364731,10,6
14000056683034,10,6
14000056821825,10,6
14000056868042,10,6
14000059134450,9,5
14000059221799,10,5
14000059259543,10,6
14000059645516,9,6
14000059648477,8,6
14000059675208,8,6
14000059712095,10,6
14000060229359,10,6
14000060274595,8,6
14000060690700,10,6
14000060774219,10,6
14000060792632,10,6
091812e6b48a06deef56384518015709158ee14ec2,8,6
0940140a34ff808081563860250157093d3efa661a,10,6
09431215bc8a06deef56384518015709408d8c4f82,7,6
09431562138a06deef563845180157094090d44f8c,10,6
094318520d8a06deef563845180157094093bf4f96,5,6
09568841fdff80808153aede940154095613eb1f34,3,6
102320e324ff80808166f86cba016710228b8a7c75,10,6
1277083f1c8a06deed5b056b50015b127696ec2177,10,6
1351078e408a06deed64d7dfe7016513502a6f5d83,10,5
137921d351ff80808164d7ceef0165137817d53749,10,6
13947790b9ff80808164d7a612016513924b291849,10,6
0818408e-1a2b-4479-be8d-c157becec39c,3,6
126556ad-e7fa-4f83-b66f-2e5a2d8aec6e,1,6
