ID,电缆段,档距段
091812e6b48a06deef56384518015709158ee14ec2,8,6
0940140a34ff808081563860250157093d3efa661a,10,6
09431215bc8a06deef56384518015709408d8c4f82,7,6
09431562138a06deef563845180157094090d44f8c,10,6
094318520d8a06deef563845180157094093bf4f96,5,6
09568841fdff80808153aede940154095613eb1f34,3,6
102320e324ff80808166f86cba016710228b8a7c75,10,6
1277083f1c8a06deed5b056b50015b127696ec2177,10,6
1351078e408a06deed64d7dfe7016513502a6f5d83,10,5
137921d351ff80808164d7ceef0165137817d53749,10,6
13947790b9ff80808164d7a612016513924b291849,10,6
0818408e-1a2b-4479-be8d-c157becec39c,3,6
126556ad-e7fa-4f83-b66f-2e5a2d8aec6e,1,6
