ID,电缆段,档距段
14000035708672,0,6
14000045218035,8,6
14000045873093,10,5
14000045934576,10,5
14000046696882,0,6
14000048619639,3,6
14000048622776,3,6
14000048628798,3,6
14000048630107,3,6
14000049710030,10,6
14000050244040,10,6
14000052422992,10,5
14000052735725,10,6
14000052809833,8,6
14000052835793,7,6
14000052837646,8,6
14000052838755,5,6
14000052839980,8,6
14000052840931,7,6
14000052980159,8,6
14000053125246,10,6
14000053126279,10,6
14000053134566,10,6
14000053303850,10,6
14000053322588,10,5
14000053327144,10,6
14000053330348,10,6
14000053331377,10,6
14000053336224,10,5
14000053347009,10,6
14000053350278,10,6
14000053393600,10,6
14000053399565,10,6
14000053403463,10,6
14000053821205,10,5
14000054658376,8,6
14000054662904,8,6
14000054686706,8,6
14000054834070,10,6
14000054841172,10,6
14000054841864,10,6
14000055167238,10,6
14000056364731,10,6
14000056683034,10,6
14000056821825,10,6
14000056868042,10,6
14000059134450,9,5
14000059221799,10,5
14000059259543,10,6
14000059645516,9,6
14000059648477,8,6
14000059675208,8,6
14000059712095,10,6
14000060229359,10,6
14000060274595,8,6
14000060690700,10,6
14000060774219,10,6
14000060792632,10,6
