ID,电缆段,档距段
0818408e-1a2b-4479-be8d-c157becec39c,2,3
091812e6b48a06deef56384518015709158ee14ec2,2,3
0940140a34ff808081563860250157093d3efa661a,10,3
09431215bc8a06deef56384518015709408d8c4f82,0,3
09431562138a06deef563845180157094090d44f8c,0,3
094318520d8a06deef563845180157094093bf4f96,0,3
094511d08dff80808153aede94015409449ede1ca7,10,3
0945149154ff80808153aede9401540944a19c1cad,5,3
0945176f38ff80808153aede9401540944a4771cb3,3,3
095684cc82ff80808153aede940154095610791f2e,0,3
09568841fdff80808153aede940154095613eb1f34,5,3
102320e324ff80808166f86cba016710228b8a7c75,10,1
126556ad-e7fa-4f83-b66f-2e5a2d8aec6e,2,3
1277083f1c8a06deed5b056b50015b127696ec2177,10,2
1351078e408a06deed64d7dfe7016513502a6f5d83,10,2
137921d351ff80808164d7ceef0165137817d53749,10,2
13947790b9ff80808164d7a612016513924b291849,10,2
