台区ID,总分,1.杆塔,2.墙支架,3.电缆段,4.分支箱,5.接入点,6.计量箱,7.连接线,8.档距段,9.电缆终端头起点,10.电缆终端头末端,11.低压电缆接头,12.台区整体美观性,13.台区整体偏移,14.台区整体混乱
0016a84d-1f30-4c45-9897-2e369b6bd2bf,91,10,3,9,10,15,15,5,3,0,0,3,6,0,0
0021e76a-11be-4a17-bc68-5e4f6922bcc1,82,10,3,2,8,15,15,5,3,0,0,3,6,0,0
012cfa44-c22a-4e3a-88fc-47f423c167ec,88,10,3,10,8,15,15,5,1,0,0,3,6,0,0
013ccd76-3d31-406f-81a6-18ff9eec9e50,75,10,3,2,8,13,12,3,3,0,0,3,6,0,0
015da7ff-1ffa-4d6c-bae6-b82454c83d33,72,10,3,0,8,12,12,3,3,0,0,3,6,0,0
021127f9-9c9c-4f19-b80d-d5741e99b440,81,10,3,2,9,15,15,3,3,0,0,3,6,0,0
022a950bcd8a06deef55aae3f901560229b3b239cb,81,10,3,7,8,15,11,3,3,0,0,3,6,0,0
022a97aa6e8a06deef55aae3f901560229b65039cd,83,10,3,2,10,15,15,4,3,0,0,3,6,0,0
022a9a3d078a06deef55aae3f901560229b8e039d3,81,10,3,5,8,15,12,4,3,0,0,3,6,0,0
022a9c96628a06deef55aae3f901560229bb3839d5,83,10,3,2,10,15,15,4,3,0,0,3,6,0,0
027c980b-2c9d-4f74-83e0-c9ab5a133e5e,82,10,3,0,10,15,15,5,3,0,0,3,6,0,0
0297d9d53a8a06deec56ff679e01570297d5e305e4,87,10,3,5,10,15,15,5,3,0,0,3,6,0,0
0297de60d98a06deec56ff679e01570297da6405f8,87,10,3,9,8,15,15,3,3,0,0,3,6,0,0
02cb539e-9f39-4945-b1f5-1c1edeb8ef7d,86,10,3,5,10,15,15,4,3,0,0,3,6,0,0
033b12c5b9ff80808156383f080157033880316b56,78,10,3,0,10,15,13,3,3,0,0,3,6,0,0
033b185f5dff80808156383f080157033885c66b60,82,10,3,1,10,15,15,5,2,0,0,3,6,0,0
033b1c838bff80808156383f080157033889e56b6a,83,10,3,1,10,15,15,5,3,0,0,3,6,0,0
033b208699ff80808156383f08015703388de36b74,80,10,3,0,9,15,14,5,3,0,0,3,6,0,0
038f6cc3a18a06deef5637ca340157038d28547515,81,10,3,0,10,15,15,4,3,0,0,3,6,0,0
038f7275698a06deef5637ca340157038d2dfb752b,87,10,3,7,10,15,15,3,3,0,0,3,6,0,0
039ba7b4-d4d0-4e81-bfaa-4d415c700ef2,82,10,3,0,10,15,15,5,3,0,0,3,6,0,0
03c18146a6ff80808157e35a2e015803c0d5ea0a8c,82,10,3,0,10,15,15,5,3,0,0,3,6,0,0
03c186067dff80808157e35a2e015803c0da9c0aa2,82,10,3,0,10,15,15,5,3,0,0,3,6,0,0
03c1f93cc3ff80808157e35a2e015803c14c270db0,80,10,3,0,10,15,15,3,3,0,0,3,6,0,0
03c1fd6705ff80808157e35a2e015803c150410dc6,80,10,3,0,8,15,15,5,3,0,0,3,6,0,0
03c200d780ff80808157e35a2e015803c153ab0dd1,67,10,3,0,10,8,9,3,3,0,0,3,6,0,0
03c22348cbff80808157e35a2e015803c1759d0eaa,81,10,3,3,10,15,13,3,3,0,0,3,6,0,0
