台区ID,人工档距段评分,档距段ML评分,评分差异,档距段数量,电缆段数量,总标注数量
14000035708672,6,6,0,0,53,477
14000045218035,6,6,0,21,3,91
14000045873093,5,6,1,51,3,204
14000045934576,5,6,1,40,2,169
14000046696882,6,6,0,8,2,56
14000048619639,6,6,0,0,12,123
14000048622776,6,6,0,0,14,135
14000048628798,6,6,0,0,13,123
14000048630107,6,6,0,0,17,159
14000049710030,6,6,0,16,3,72
14000050244040,6,6,0,42,3,218
14000052422992,5,5,0,52,3,207
14000052735725,6,6,0,49,5,218
14000052809833,6,6,0,44,3,185
14000052835793,6,6,0,0,10,75
14000052837646,6,6,0,0,8,79
14000052838755,6,6,0,0,4,67
14000052839980,6,6,0,0,8,83
14000052840931,6,5,1,0,6,103
14000052980159,6,6,0,17,3,74
14000053125246,6,6,0,0,2,150
14000053126279,6,6,0,0,50,421
14000053134566,6,6,0,47,3,198
14000053303850,6,6,0,42,3,181
14000053322588,5,6,1,46,3,194
14000053327144,6,6,0,73,3,295
14000053330348,6,6,0,35,3,154
14000053331377,6,6,0,54,3,239
14000053336224,5,6,1,46,3,197
14000053347009,6,6,0,47,3,199
14000053350278,6,6,0,35,3,154
14000053393600,6,6,0,17,2,74
14000053399565,6,6,0,22,3,277
14000053403463,6,6,0,32,3,160
14000053821205,5,6,1,39,3,269
14000054658376,6,6,0,24,3,122
14000054662904,6,6,0,59,3,242
14000054686706,6,6,0,61,3,249
14000054834070,6,6,0,9,2,55
14000054841172,6,6,0,37,2,185
14000054841864,6,6,0,29,3,276
14000055167238,6,6,0,38,3,185
14000056364731,6,6,0,31,3,142
14000056683034,6,6,0,34,3,157
14000056821825,6,6,0,29,3,187
14000056868042,6,6,0,41,3,188
14000059134450,5,6,1,25,3,137
14000059221799,5,6,1,45,3,184
14000059259543,6,6,0,45,2,208
14000059645516,6,6,0,0,17,247
14000059648477,6,6,0,0,14,211
14000059675208,6,5,1,53,3,255
14000059712095,6,5,1,96,4,394
14000060229359,6,6,0,24,3,120
14000060274595,6,6,0,29,3,136
14000060690700,6,6,0,49,3,228
14000060774219,6,6,0,54,3,233
14000060792632,6,6,0,52,3,241
